,accuracy,precision,recall,f1_score
Naive Bayes Unigram,0.825,0.8354430379746836,0.8148148148148148,0.825
Naive Bayes Bigram,0.825,0.8192771084337349,0.8395061728395061,0.8292682926829268
Logistic Regression Unigram,0.80625,0.7906976744186046,0.8395061728395061,0.8143712574850299
Logistic Regression Bigram,0.825,0.8441558441558441,0.8024691358024691,0.8227848101265823
Classification Tree Unigram,0.68125,0.6923076923076923,0.6666666666666666,0.6792452830188679
Classification Tree Bigram,0.68125,0.6785714285714286,0.7037037037037037,0.6909090909090909
Random Forest Unigram,0.83125,0.813953488372093,0.8641975308641975,0.8383233532934131
Random Forest Bigram,0.8125,0.7741935483870968,0.8888888888888888,0.8275862068965517
