,accuracy,precision,recall,f1_score
Naive Bayes Unigram,0.81875,0.8170731707317073,0.8271604938271605,0.8220858895705522
Naive Bayes Bigram,0.89375,0.8902439024390244,0.9012345679012346,0.8957055214723927
Logistic Regression Unigram,0.8,0.788235294117647,0.8271604938271605,0.8072289156626506
Logistic Regression Bigram,0.825,0.8533333333333334,0.7901234567901234,0.8205128205128205
Classification Tree Unigram,0.68125,0.6923076923076923,0.6666666666666666,0.6792452830188679
Classification Tree Bigram,0.68125,0.6785714285714286,0.7037037037037037,0.6909090909090909
Random Forest Unigram,0.83125,0.813953488372093,0.8641975308641975,0.8383233532934131
Random Forest Bigram,0.8125,0.7741935483870968,0.8888888888888888,0.8275862068965517
